,Slot_id,Date,Day_Name,Slot_Timeint,Covid,Time_Int,Ilegality_Rate,Attention,Capacity,Sum
0,10,01/03/2018,Wednesday,55800,0,55873,0.7777777777777778,1.0,6,9
1,11,01/03/2018,Wednesday,55800,0,56415,0.5833333333333334,0.6666666666666666,18,12
2,17182,01/03/2018,Wednesday,30600,0,29160,1.0,0.6666666666666666,18,12
3,17182,01/03/2018,Wednesday,41400,0,40016,0.875,0.8888888888888888,18,16
4,17182,01/03/2018,Wednesday,59400,0,58903,0.78125,1.0,18,32
5,17222,01/03/2018,Wednesday,59400,0,58380,1.0,1.0,2,4
6,17254,01/03/2018,Wednesday,34200,0,34416,0.7692307692307693,0.6190476190476191,21,13
7,17254,01/03/2018,Wednesday,45000,0,43440,0.4,0.23809523809523808,21,5
8,17254,01/03/2018,Wednesday,59400,0,59168,0.8571428571428571,1.0,21,21
9,17322,01/03/2018,Wednesday,34200,0,34760,1.0,0.5,6,3
10,17361,01/03/2018,Wednesday,30600,0,29708,0.8571428571428571,0.3333333333333333,21,7
11,17361,01/03/2018,Wednesday,41400,0,40096,0.7333333333333333,0.7142857142857143,21,15
12,17361,01/03/2018,Wednesday,59400,0,58009,0.7878787878787878,1.0,21,33
13,17361,01/04/2018,Thursday,41400,0,42572,0.6363636363636364,0.5238095238095238,21,11
14,17361,01/04/2018,Thursday,45000,0,45402,0.7142857142857143,0.3333333333333333,21,7
15,17413,01/03/2018,Wednesday,52200,0,53805,0.25,0.5714285714285714,7,4
16,17424,01/03/2018,Wednesday,55800,0,57320,0.5,0.75,8,6
17,17472,01/03/2018,Wednesday,34200,0,33852,1.0,1.0,5,5
18,17472,01/03/2018,Wednesday,41400,0,42990,0.5,0.8,5,4
19,17472,01/04/2018,Thursday,45000,0,44597,0.5714285714285714,1.0,5,7
20,17622,01/03/2018,Wednesday,30600,0,30230,1.0,0.8125,16,13
21,17622,01/03/2018,Wednesday,41400,0,40930,0.8333333333333334,0.375,16,6
22,17622,01/03/2018,Wednesday,55800,0,56412,0.8275862068965517,1.0,16,29
23,17622,01/04/2018,Thursday,41400,0,42960,1.0,0.3125,16,5
